Player:,Team:,Cost:,Tier(s):,Record:,Week 1:,Week 2:,Week 3:,Week 4:,Week 5:,Week 6:,Week 7:,Week 8:,Week 9:,Semis:,Final:,SORTER
R!cardo,Raiders,3000,ORAS OU / SM OU,0 - 4 - 0,,,,,,L vs blunder (ORAS OU),L vs Poek (ORAS OU),L vs nihilillie (SM OU),L vs Z+V (SM OU),,,-3.97
Gingy,Raiders,4000,SM OU / SM RU / ORAS OU,0 - 5 - 0,L vs xray (ORAS OU),L vs Hiye (ORAS OU),L vs FlamingVictini (SM OU),L vs Eternal Spirit (SM OU),,,L vs Nat (SM RU),,,,,-4.96
London Beats,Cryonicles,3000,SM OU / ADV OU / SM NU,0 - 6 - 0,,,L vs Lednah (SM OU),L vs Trosko (SM OU),,L vs undisputed (ADV OU),L vs Jirachee (ADV OU),L vs UD (ADV OU),L vs Kushalos (SM NU),,,-5.97
Kickasser,Sharks / (sold),6000,,0 - 0 - 0,,,,,,,,,,,,-999.94
Bedschibaer,BIGs,4500,,0 - 0 - 0,,,,,,,,,,,,-999.955
6A9 Ace Matador,Raiders,4000,,0 - 0 - 0,,,,,,,,,,,,-999.96
ayevon,BIGs,3000,,0 - 0 - 0,,,,,,,,,,,,-999.97
eden's embrace,Classiest,3000,,0 - 0 - 0,,,,,,,,,,,,-999.97
Eien,Classiest / (sold),3000,,0 - 0 - 0,,,,,,,,,,,,-999.97
Level 51,Raiders,3000,,0 - 0 - 0,,,,,,,,,,,,-999.97
col49,Ruiners,3000,,0 - 0 - 0,,,,,,,,,,,,-999.97
jake,Tigers,3000,,0 - 0 - 0,,,,,,,,,,,,-999.97
