Player:,Team:,Cost:,Tier(s):,Record:,Week 1:,Week 2:,Week 3:,Week 4:,Week 5:,Week 6:,Week 7:,Week 8:,Week 9:,Semis:,Final:,SORTER
Lycans,Scooters,10000,SM UU,4 - 5 - 0,L vs HT (SM UU),W vs Cynde (SM UU),L vs Pak (SM UU),W vs Christo (SM UU),W vs dodmen (SM UU),L vs Sacri' (SM UU),L vs Manipulative (SM UU),L vs Bushtush (SM UU),W vs A Hero's Destiny (SM UU),,,395.1
Gondra,Raiders,8000,SM OU,4 - 5 - 0,L vs bro fist (SM OU),L vs Kory2600 (SM OU),W vs Obliviate (SM OU),W vs azogue (SM OU),L vs ABR (SM OU),L vs z0mOG (SM OU),W vs aim (SM OU),L vs Tricking (ORAS OU),W vs Znain (ORAS OU),,,395.08
giara,Scooters,8000,GSC OU,4 - 5 - 0,W vs sulcata (GSC OU),L vs Fear (GSC OU),L vs choolio (GSC OU),L vs Lavos (GSC OU),L vs Pleasure (GSC OU),W vs Jimmy Turtwig (GSC OU),L vs Mr.E (GSC OU),W vs Tiba (GSC OU),W vs Century Express (GSC OU),,,395.08
marilli,Wolfpack,5500,SM DOU,4 - 5 - 0,W vs Croven (SM DOU),L vs miltankmilk (SM DOU),L vs MajorBowman (SM DOU),L vs Biosci (SM DOU),W vs Kaori (SM DOU),L vs Demantoid (SM DOU),L vs EmbCPT (SM DOU),W vs Jhon (SM DOU),W vs Lunar. (SM DOU),,,395.055
blunder,Tyrants,6500,SM OU / ORAS OU,3 - 1 - 0,,,,,L vs Eternal Spirit (SM OU),W vs R!cardo (ORAS OU),W vs exiline (ORAS OU),W vs CrashinBoomBang (ORAS OU),,,,299.065
mael,Raiders,5000,SM RU / RBY OU,3 - 1 - 0,,,,W vs lighthouses (SM RU),L vs soulgazer (SM RU),,,W vs GGFan (RBY OU),W vs Bouff (SM RU),,,299.05
Smurf.,Sharks,3000,ADV OU / BW OU,3 - 1 - 0,,,,,,W vs Astamatitos (ADV OU),W vs dice (BW OU),L vs BKC (BW OU),W vs ZoroDark (BW OU),,,299.03
Mr.E,BIGs,3000,GSC OU,3 - 2 - 0,,,,,W vs Tiba (GSC OU),L vs Century Express (GSC OU),W vs giara (GSC OU),L vs Fear (GSC OU),W vs sulcata (GSC OU),,,298.03
Lusch,Classiest,10000,RBY OU,3 - 4 - 0,W vs badabing (RBY OU),L vs GGFan (RBY OU),L vs marcoasd (RBY OU),L vs roudolf13 (RBY OU),L vs Peasounay (RBY OU),,,W vs Diegolh (RBY OU),W vs MetalGro$$ (RBY OU),,,296.1
lighthouses,Tigers,8500,SM RU,3 - 4 - 0,,,W vs soulgazer (SM RU),L vs mael (SM RU),W vs SilentVerse (SM RU),L vs Windsong (SM RU),W vs Chill Shadow (SM RU),L vs Bouff (SM RU),L vs Feliburn (SM RU),,,296.085
MetalGro$$,Raiders,5000,RBY OU,3 - 4 - 0,W vs marcoasd (RBY OU),W vs roudolf13 (RBY OU),L vs Alexander. (RBY OU),W vs Diegolh (RBY OU),L vs The Idiot Ninja (RBY OU),L vs Earthworm (RBY OU),,,L vs Lusch (RBY OU),,,296.05
Lednah,Sharks,3000,SM OU,3 - 4 - 0,W vs azogue (SM OU),W vs Blackoblivion (SM OU),W vs London Beats (SM OU),L vs bro fist (SM OU),L vs Leftiez (SM OU),L vs ABR (SM OU),L vs z0mOG (SM OU),,,,,296.03
p2,Tigers,3000,SM OU,3 - 4 - 0,W vs BHARATH_THEBEST (SM OU),L vs Poek (SM OU),L vs ABR (SM OU),,W vs z0mOG (SM OU),W vs bro fist (SM OU),L vs Cdumas (SM OU),L vs Blackoblivion (SM OU),,,,296.03
-Tsunami-,Raiders,11000,SM OU / SM RU / SM NU / RBY OU,3 - 5 - 0,L vs Windsong (SM RU),W vs Chill Shadow (SM RU),L vs njnp (SM RU),W vs Hootie (SM NU),W vs Trosko (SM OU),L vs psychicmewtwo (SM OU),L vs Peasounay (RBY OU),L vs Arifeen (SM RU),,,,295.11
Kaori,Raiders,3000,SM DOU,3 - 5 - 0,,W vs Croven (SM DOU),W vs miltankmilk (SM DOU),L vs MajorBowman (SM DOU),L vs marilli (SM DOU),L vs stax (SM DOU),W vs Tman (SM DOU),L vs Demantoid (SM DOU),L vs EmbCPT (SM DOU),,,295.03
Croven,Ruiners,3000,SM DOU,3 - 5 - 0,L vs marilli (SM DOU),L vs Kaori (SM DOU),L vs stax (SM DOU),W vs EmbCPT (SM DOU),W vs Jhon (SM DOU),L vs Biosci (SM DOU),W vs MajorBowman (SM DOU),L vs miltankmilk (SM DOU),,,,295.03
Ojama,Scooters,28500,ADV OU / BW OU,3 - 6 - 0,L vs danilo (ADV OU),L vs Astamatitos (ADV OU),W vs BKC (ADV OU),W vs UD (ADV OU),L vs Kevin Garrett (ADV OU),L vs thelinearcurve (ADV OU),W vs Triangles (ADV OU),L vs undisputed (ADV OU),L vs McMeghan (BW OU),,,294.285
dodmen,Sharks,21000,SM UU,3 - 6 - 0,W vs A Hero's Destiny (SM UU),W vs Sacri' (SM UU),L vs HT (SM UU),L vs Manipulative (SM UU),L vs Lycans (SM UU),L vs Void (SM UU),W vs Christo (SM UU),L vs Pak (SM UU),L vs Bushtush (SM UU),,,294.21
Jirachee,Raiders,16500,BW OU / ADV OU,3 - 6 - 0,L vs Posho (BW OU),L vs ZoroDark (BW OU),L vs elodin (BW OU),W vs CALLOUS (ADV OU),W vs Astamatitos (ADV OU),L vs UD (ADV OU),W vs London Beats (ADV OU),L vs Kevin Garrett (ADV OU),L vs thelinearcurve (ADV OU),,,294.165
Mounts,Scooters,16000,ORAS OU,3 - 6 - 0,L vs CrashinBoomBang (ORAS OU),L vs Updated Kanto (ORAS OU),L vs TDK (ORAS OU),L vs Get this Money (ORAS OU),W vs nihilillie (ORAS OU),W vs Znain (ORAS OU),W vs xray (ORAS OU),L vs Hiye (ORAS OU),L vs Nintendi (ORAS OU),,,294.16
Pleasure,Sharks,14000,GSC OU,3 - 6 - 0,W vs k3nan (GSC OU),L vs Jimmy Turtwig (GSC OU),L vs sulcata (GSC OU),L vs d0nut (GSC OU),W vs giara (GSC OU),L vs Fear (GSC OU),L vs Lavos (GSC OU),L vs choolio (GSC OU),W vs Tiba (GSC OU),,,294.14
Posho,BIGs,10000,BW OU,3 - 6 - 0,W vs Jirachee (BW OU),L vs dice (BW OU),L vs LuckOverSkill (BW OU),L vs bluri (BW OU),W vs jacob (BW OU),L vs McMeghan (BW OU),L vs Go10 (BW OU),W vs SoulWind (BW OU),L vs Peasounay (BW OU),,,294.1
Jimmy Turtwig,Classiest,10000,GSC OU,3 - 6 - 0,L vs Lavos (GSC OU),W vs Pleasure (GSC OU),L vs d0nut (GSC OU),W vs Gilbert arenas (GSC OU),L vs sulcata (GSC OU),L vs giara (GSC OU),L vs Fear (GSC OU),W vs Century Express (GSC OU),L vs choolio (GSC OU),,,294.1
Chill Shadow,Ruiners,10000,SM RU,3 - 6 - 0,L vs soulgazer (SM RU),L vs -Tsunami- (SM RU),L vs SilentVerse (SM RU),W vs Ajna (SM RU),W vs Windsong (SM RU),L vs Nat (SM RU),L vs lighthouses (SM RU),W vs Feliburn (SM RU),L vs Arifeen (SM RU),,,294.1
Znain,Classiest,9000,ORAS OU,3 - 6 - 0,W vs Get this Money (ORAS OU),L vs Axel (ORAS OU),W vs xray (ORAS OU),W vs Empo (ORAS OU),L vs Poek (ORAS OU),L vs Mounts (ORAS OU),L vs Updated Kanto (ORAS OU),L vs Nintendi (ORAS OU),L vs Gondra (ORAS OU),,,294.09
Manipulative,BIGs,4500,SM UU,3 - 6 - 0,L vs Pak (SM UU),L vs Christo (SM UU),W vs Sacri' (SM UU),W vs dodmen (SM UU),L vs Bushtush (SM UU),L vs A Hero's Destiny (SM UU),W vs Lycans (SM UU),L vs PokeTCG gamer 1288 (SM UU),L vs Tman (SM UU),,,294.045
A Hero's Destiny,Tigers,3000,SM UU,3 - 6 - 0,L vs dodmen (SM UU),W vs HT (SM UU),W vs Cynde (SM UU),L vs Pak (SM UU),L vs Christo (SM UU),W vs Manipulative (SM UU),L vs Bushtush (SM UU),L vs Sacri' (SM UU),L vs Lycans (SM UU),,,294.03
